"name","is_property_unit","property_type","occupancy_status","floor_level","area_sqm","list_price","property_address","electricity_meter_no","water_meter_no","description"
"Unit 101 - Commercial Corner Suite","TRUE","commercial","available","Floor 1","45.00","28000.00","Ground Floor, Tower A, 5th Avenue cor. 26th St, Bonifacio Global City, Taguig City, Metro Manila","E-1001","W-1001","Prime ground floor commercial corner space with high foot traffic exposure. Features floor-to-ceiling glass frontage, grease trap provision, double access doors, and 3-phase electrical connection. Ideal for coffee shops, specialty bakeries, or retail showrooms."
"Unit 102 - Ground Retail Shop B","TRUE","commercial","occupied","Floor 1","35.00","22000.00","Ground Floor, Tower A, 5th Avenue cor. 26th St, Bonifacio Global City, Taguig City, Metro Manila","E-1002","W-1002","Compact retail space equipped with security roller shutters, tile flooring, and dedicated submeter. Currently leased to Green Grocers Pharmacy."
"Unit 103 - Bank & Financial Service Hub","TRUE","commercial","occupied","Floor 1","80.00","65000.00","Ground Floor, Tower A, 5th Avenue cor. 26th St, Bonifacio Global City, Taguig City, Metro Manila","E-1003","W-1003","High-security financial service unit featuring reinforced vault area, bulletproof glass counter, and heavy-duty air conditioning. Leased to BDO Unibank Branch."
"Unit 201 - Executive Office Suite A","TRUE","office","available","Floor 2","75.50","50000.00","2nd Floor, Grand Plaza Tower, Ayala Avenue, Makati City, Metro Manila","E-2001","W-2001","Fully carpeted corporate office suite with 2 glass-partitioned manager cabins, 12-person boardroom, server room with precision cooling, and acoustic ceiling tiles."
"Unit 202 - Executive Office Suite B","TRUE","office","reserved","Floor 2","65.00","42000.00","2nd Floor, Grand Plaza Tower, Ayala Avenue, Makati City, Metro Manila","E-2002","W-2002","Open-plan corporate layout with executive pantry, electronic keycard door lock, and high-speed fiber internet ports. Reserved by TechCorp Solutions Inc."
"Unit 301 - Studio Condo Suite 3A","TRUE","residential_studio","available","Floor 3","30.00","18000.00","Unit 301, Horizon Residences, ADB Avenue, Ortigas Center, Pasig City, Metro Manila","E-3001","W-3001","Modern fully furnished studio unit overlooking the swimming pool. Includes queen-sized bed, inverter refrigerator, 43-inch Smart TV, microwave, and hot shower heater."
"Unit 302 - Studio Condo Suite 3B","TRUE","residential_studio","occupied","Floor 3","30.00","18000.00","Unit 302, Horizon Residences, ADB Avenue, Ortigas Center, Pasig City, Metro Manila","E-3002","W-3002","Fully furnished studio condo unit with balcony. Currently occupied by Mr. Juan Dela Cruz under a 1-year residential lease."
"Unit 303 - 1-Bedroom Deluxe Suite","TRUE","residential_1br","available","Floor 3","48.00","26000.00","Unit 303, Horizon Residences, ADB Avenue, Ortigas Center, Pasig City, Metro Manila","E-3003","W-3003","Spacious 1-bedroom condo with separated living area, modular kitchen cabinets, Induction cooktop, and en-suite master bathroom."
"Unit 401 - 1-Bedroom Deluxe Suite B","TRUE","residential_1br","available","Floor 4","48.00","26500.00","Unit 401, Horizon Residences, ADB Avenue, Ortigas Center, Pasig City, Metro Manila","E-4001","W-4001","Corner 1-bedroom unit with unblocked skyline views. Features split-type inverter ACs in both living room and master bedroom."
"Unit 402 - 2-Bedroom Family Suite","TRUE","residential_2br","reserved","Floor 4","72.00","45000.00","Unit 402, Horizon Residences, ADB Avenue, Ortigas Center, Pasig City, Metro Manila","E-4002","W-4002","Family-friendly 2-bedroom suite with maid's room, 2 full bathrooms, utility balcony, and 1 designated basement parking slot. Reserved pending lease signing."
"Unit 501 - 2-Bedroom Executive Suite","TRUE","residential_2br","occupied","Floor 5","85.00","55000.00","Unit 501, Bayview Towers, Roxas Boulevard, Pasay City, Metro Manila","E-5001","W-5001","Luxury 2-bedroom corner suite featuring panoramic Manila Bay sunset views, walk-in closets, marble countertops, and tandem parking slots."
"Unit 502 - 2-Bedroom Executive Suite B","TRUE","residential_2br","under_repair","Floor 5","85.00","55000.00","Unit 502, Bayview Towers, Roxas Boulevard, Pasay City, Metro Manila","E-5002","W-5002","Under maintenance - Complete bathroom re-tiling and central HVAC compressor replacement in progress. Expected completion in 5 days."
"Unit 601 - Commercial BPO Floor Wing A","TRUE","office","available","Floor 6","250.00","175000.00","6th Floor, Eastwood Cyberpark Tower 1, E. Rodriguez Jr. Ave, Libis, Quezon City, Metro Manila","E-6001","W-6001","PEZA-accredited IT/BPO full floor wing featuring 24/7 100% backup power generator, dual fiber optic ISP entry, biometric access control, and capacity for 60 work seats."
"Unit 602 - Commercial BPO Floor Wing B","TRUE","office","occupied","Floor 6","250.00","175000.00","6th Floor, Eastwood Cyberpark Tower 1, E. Rodriguez Jr. Ave, Libis, Quezon City, Metro Manila","E-6002","W-6002","PEZA-certified BPO office floor leased to Convergys BPO Call Center under a 5-year commercial lease contract."
"Unit 1001 - Sky Penthouse Suite 10A","TRUE","residential_penthouse","available","Floor 10","150.00","120000.00","10th Floor Sky Deck, The Crown Towers, McKinley Hill, Taguig City, Metro Manila","E-10001","W-10001","Ultra-luxury 3-bedroom duplex penthouse featuring double-height ceiling living room, private outdoor sky deck with heated Jacuzzi, Miele kitchen appliances, and private elevator access."
"Unit 1002 - Sky Penthouse Suite 10B","TRUE","residential_penthouse","reserved","Floor 10","165.00","135000.00","10th Floor Sky Deck, The Crown Towers, McKinley Hill, Taguig City, Metro Manila","E-10002","W-10002","Top-floor executive penthouse suite reserved for Embassy Diplomatic Residence. Includes 3 basement parking slots and 24-hour butler service."
